Category		Token ID	  Line No			Lexeme
--------------------------------------------------------------------
KEYWD_CONST  		69		[LINE NO: 3]		const
KEYWD_INT    		70		[LINE NO: 3]		int
IDENTIFIER			93		[LINE NO: 3]		N
OP_ASSGN     		34		[LINE NO: 3]		=
[INT_LIT]			88		[LINE NO: 3]		10
SYM_SEMICOLON		33		[LINE NO: 3]		;
KEYWD_INT    		70		[LINE NO: 4]		int
IDENTIFIER			93		[LINE NO: 4]		g
SYM_SB1      		36		[LINE NO: 4]		[
IDENTIFIER			93		[LINE NO: 4]		N
OP_COMMA     		35		[LINE NO: 4]		,
IDENTIFIER			93		[LINE NO: 4]		N
SYM_SB2      		37		[LINE NO: 4]		]
SYM_SEMICOLON		33		[LINE NO: 4]		;
KEYWD_BOOL   		83		[LINE NO: 5]		bool
IDENTIFIER			93		[LINE NO: 5]		visited
SYM_SB1      		36		[LINE NO: 5]		[
IDENTIFIER			93		[LINE NO: 5]		N
SYM_SB2      		37		[LINE NO: 5]		]
SYM_SEMICOLON		33		[LINE NO: 5]		;
KEYWD_INT    		70		[LINE NO: 6]		int
IDENTIFIER			93		[LINE NO: 6]		topoSort
SYM_SB1      		36		[LINE NO: 6]		[
IDENTIFIER			93		[LINE NO: 6]		N
SYM_SB2      		37		[LINE NO: 6]		]
SYM_SEMICOLON		33		[LINE NO: 6]		;
KEYWD_INT    		70		[LINE NO: 8]		int
IDENTIFIER			93		[LINE NO: 8]		pos
OP_ASSGN     		34		[LINE NO: 8]		=
[INT_LIT]			88		[LINE NO: 8]		0
SYM_SEMICOLON		33		[LINE NO: 8]		;
KEYWD_DEF    		66		[LINE NO: 10]		def
IDENTIFIER			93		[LINE NO: 10]		dfs
SYM_B1       		38		[LINE NO: 10]		(
KEYWD_INT    		70		[LINE NO: 10]		int
IDENTIFIER			93		[LINE NO: 10]		node
SYM_B2       		39		[LINE NO: 10]		)
OP_FUNC      		41		[LINE NO: 10]		=>
KEYWD_VOID   		84		[LINE NO: 10]		void
SYM_P1       		31		[LINE NO: 10]		{
IDENTIFIER			93		[LINE NO: 12]		visited
SYM_SB1      		36		[LINE NO: 12]		[
IDENTIFIER			93		[LINE NO: 12]		node
SYM_SB2      		37		[LINE NO: 12]		]
OP_ASSGN     		34		[LINE NO: 12]		=
KEYWD_TRUE   		86		[LINE NO: 12]		true
SYM_SEMICOLON		33		[LINE NO: 12]		;
KEYWD_FOR    		46		[LINE NO: 14]		for
IDENTIFIER			93		[LINE NO: 14]		i
KEYWD_IN     		47		[LINE NO: 14]		in
SYM_B1       		38		[LINE NO: 14]		(
[INT_LIT]			88		[LINE NO: 14]		0
OP_COMMA     		35		[LINE NO: 14]		,
IDENTIFIER			93		[LINE NO: 14]		N
SYM_B2       		39		[LINE NO: 14]		)
KEYWD_IF     		43		[LINE NO: 15]		if
SYM_B1       		38		[LINE NO: 15]		(
OP_LOG_not   		14		[LINE NO: 15]		!
IDENTIFIER			93		[LINE NO: 15]		visited
SYM_SB1      		36		[LINE NO: 15]		[
